"","House_type","price","availability"
"1","Brand New 2-Bed Golf Course View Apartment","Rent: #10million, Service Charge: # 3million","For Rent"
"2","Fully Furnished 5-Bedroom Masionette","NGN35,000,000","For Rent"
"3","Fully-Furnished 2-Bedroom Apartment","NGN30,000,000","For Rent"
"4","Spacious 2-Bedroom Flat","NGN10,000,000Per Year","For Rent"
"5","Maansbay 3-Bedroom Apartment","USD70,000","For Rent"
"6","Upscale 3-Bedroom Flat","Per YearNGN15,000,000","For Rent"
"7","Unique 3-Bedroom Apartment Ikoyi","NGN15,000,000Per Year","For Rent"
"8","Beautiful 4 Bedroom Penthouse","NGN15,000,000","For Rent"
"9","Luxury 5 Bed Pent House","$1500000","Exclusive"
"10","The Belmonte Ultra-Luxury Residences – Ikoyi","$150000","For Sale"
"11","Furnished 3 Bedroom Apartment","NGN20,000,000","For Rent"
"12","Premium 2 Bed Penthouse ~ Banana Island","NGN1,200,000,000","New Developments"
"13","Upscale 2 Bedroom Apartment","NGN16,000,000","For Rent"
"14","Contemporary 3-Bed Terrace – Banana Island","NGN3,000,000,000","For Sale"
"15","Brand New 4 Bedroom Waterview Terrace in Ikoyi","400M","For Rent"
"16","Spacious 3 Bedroom Flat","Price Guide: NGN15M; Service Charge: NGN2.5M","For Sale"
"17","Spacious 3 Bedroom Flat","NGN125,000,000","For Sale"
"18","Fully Furnished 3 Bedroom Apartment","NGN150,000,000",NA
"19","Spacious 3 Bedroom Apartment",NA,NA
